data_id,event_date,inter1,inter2
5866998,20180302,1,0
5865464,20180302,1,0
5842426,20180302,8,0
6129659,20180302,1,0
5865470,20180302,1,0
5869568,20180301,2,2
5857540,20180301,2,2
5862920,20180301,2,2
6129675,20180301,1,0
6129931,20180301,1,0
5907980,20180301,1,0
5868556,20180301,2,0
5907981,20180301,1,0
7286029,20180301,2,0
5907984,20180301,1,7
5866000,20180301,2,2
5866256,20180301,8,2
5868560,20180301,2,2
5907985,20180301,1,0
5907988,20180301,1,0
6123285,20180301,1,7
5868569,20180301,8,2
6122522,20180301,3,7
6132250,20180301,3,7
6123038,20180301,8,7
5866273,20180301,2,0
6123044,20180301,1,7
5868582,20180301,1,0
5850664,20180301,2,0
5864756,20180301,3,7
5867842,20180301,1,0
6130242,20180301,1,0
6045765,20180301,8,7
5841990,20180301,1,0
6130512,20180301,1,0
5866577,20180301,1,2
5868628,20180301,1,2
5867100,20180301,8,7
5869149,20180301,2,0
5868388,20180301,2,2
5868389,20180301,2,7
5860200,20180301,3,0
5866600,20180301,2,0
5868906,20180301,3,7
6082158,20180301,3,0
5858417,20180301,2,2
5860209,20180301,8,7
5862001,20180301,2,2
6080625,20180301,3,0
5869180,20180301,3,7
6123138,20180301,1,7
6039430,20180301,2,7
6039431,20180301,2,7
6039432,20180301,1,7
5868424,20180301,2,2
6039433,20180301,1,7
6039434,20180301,1,7
6039435,20180301,1,0
5868171,20180301,2,0
6039436,20180301,8,7
6039437,20180301,1,7
5867917,20180301,8,2
6039438,20180301,1,7
6039439,20180301,1,7
6082191,20180301,1,2
6039440,20180301,1,2
6039441,20180301,1,7
6039442,20180301,1,7
6039443,20180301,2,2
6039444,20180301,1,7
6039445,20180301,1,7
6039446,20180301,1,7
5863830,20180301,1,0
6039447,20180301,8,2
6039448,20180301,3,2
6077592,20180301,8,0
6039449,20180301,8,7
6039450,20180301,1,2
6123162,20180301,2,2
6039451,20180301,1,7
6123163,20180301,1,7
6075551,20180301,8,3
6123168,20180301,1,7
5689763,20180301,2,2
5869476,20180301,1,2
6081957,20180301,2,2
5863847,20180301,2,2
6122922,20180301,2,7
5868458,20180301,2,2
5842099,20180301,1,1
6082228,20180301,1,0
5865397,20180301,2,2
6129600,20180301,1,0
5865668,20180301,3,7
5843910,20180301,1,2
5864134,20180301,1,0
5864135,20180301,3,0
7020745,20180301,8,2
5865682,20180301,2,0
5844693,20180301,1,7
5867224,20180301,2,0
5841881,20180301,1,7
5865697,20180301,8,2
5869287,20180301,2,2
6078441,20180301,2,0
5868779,20180301,1,2
5843949,20180301,1,0
5849841,20180301,2,0
5849842,20180301,2,0
5849844,20180301,2,2
6122999,20180301,2,7
5869565,20180301,2,2
6122239,20180301,1,7
5907968,20180228,1,0
5907969,20180228,2,1
5907971,20180228,1,0
5907972,20180228,1,0
6074629,20180228,2,2
6122758,20180228,1,7
5907977,20180228,1,0
5869587,20180228,3,2
6123031,20180228,1,7
6123034,20180228,2,7
6079015,20180228,2,0
6130472,20180228,1,0
5689897,20180228,2,2
5869098,20180228,3,0
5869099,20180228,3,7
5868332,20180228,1,0
6057268,20180228,8,7
5689911,20180228,2,2
5865281,20180228,1,2
5865283,20180228,2,7
7219013,20180228,1,2
6054474,20180228,8,7
5860427,20180228,1,7
6123853,20180228,8,7
5865294,20180228,1,7
5844571,20180228,1,7
6123612,20180228,2,7
6123112,20180228,8,7
6039402,20180228,1,0
6039403,20180228,1,0
5862507,20180228,1,2
6039404,20180228,2,2
6039405,20180228,1,7
5844845,20180228,1,0
6039406,20180228,8,7
6039407,20180228,1,7
6039408,20180228,1,0
6039409,20180228,2,7
6076785,20180228,2,2
6039411,20180228,1,7
6039412,20180228,1,7
6130292,20180228,1,0
6039413,20180228,1,0
6130549,20180228,1,0
6123126,20180228,1,2
6039415,20180228,1,2
6039416,20180228,1,7
6039417,20180228,1,2
6039418,20180228,1,7
6043770,20180228,1,7
6039419,20180228,1,0
6039420,20180228,1,7
6039421,20180228,1,7
6039422,20180228,1,7
6039423,20180228,1,7
6039424,20180228,1,0
6039427,20180228,1,7
6039428,20180228,1,0
6077828,20180228,1,2
6039429,20180228,1,7
5864074,20180228,1,0
5868694,20180228,3,7
6076056,20180228,2,2
6130331,20180228,2,0
6130588,20180228,1,0
5865891,20180228,3,7
6077859,20180228,3,0
5867430,20180228,2,7
5867434,20180228,3,0
5865903,20180228,1,0
5865904,20180228,1,7
6076850,20180228,2,2
5865907,20180228,1,0
5857720,20180228,1,2
5869499,20180228,8,7
5869244,20180228,1,0
5861314,20180228,2,2
5855172,20180228,2,2
6130374,20180228,1,7
5863114,20180228,1,2
